x,District,Ports,Boats,Divers,Flag,Ports2,country,unified,Latitude,Longitude,notes,,
Bahrain.,Muharraq Island.,Muharraq Town.,282,"5,582",Great Britain.,Muharraq Town.,Bahrain,"Muharraq Town., Bahrain",26.2534919,50.6082558,,,
Bahrain.,Muharraq Island.,Hālat-an-Na'īm and Hālat-as-Sulutah.,51,"1,172",Great Britain.,Hālat-an-Na'īm and Hālat-as-Sulutah.,Bahrain,"Hālat-an-Na'īm and Hālat-as-Sulutah., Bahrain",26.2389,50.6353,,,
Bahrain.,Muharraq Island.,Qalāli.,21,441,Great Britain.,Qalāli.,Bahrain,"Qalāli., Bahrain",26.2703091,50.6612182,,,
Bahrain.,Muharraq Island.,Samāhij.,11,186,Great Britain.,Samāhij.,Bahrain,"Samāhij., Bahrain",26.281668,50.6352878,,,
Bahrain.,Muharraq Island.,Umm-ash-Shajar.,12,231,Great Britain.,Umm-ash-Shajar.,Bahrain,"Umm-ash-Shajar., Bahrain",26.2288889,50.6558333,,,
Bahrain.,Nabi Sālih Island.,Nabi Sālih Island.,10,130,Great Britain.,Nabi Sālih Island.,Bahrain,"Nabi Sālih Island, Bahrain",26.182797,50.58477,,26.182797,50.58477
Bahrain.,Sitrah Island.,Sitrah Island.,22,308,Great Britain.,Sitrah Island.,Bahrain,"Sitrah Island, Bahrain",26.161468,50.61626,,26.161468,50.61626
Hasa Sanjāq.,Qatīf Oasis.,Bahāri.,7,112,Turkey.,Bahāri.,Saudi Arabia,"Bahāri., Saudi Arabia",26.568987,49.991012,,26.568987,49.991012
Hasa Sanjāq.,Qatīf Oasis.,Awāmīyah.,5,90,Turkey.,Awāmīyah.,Saudi Arabia,"Awāmīyah., Saudi Arabia",26.5845726,49.9832663,,,
Hasa Sanjāq.,Qatīf Oasis.,Dabaibiyah.,4,84,Turkey.,Dabaibiyah.,Saudi Arabia,"Dabaibiyah., Saudi Arabia",26.5275,49.7761111,,,
Hasa Sanjāq.,Qatīf Oasis.,Kawaikib.,5,114,Turkey.,Kawaikib.,Saudi Arabia,"Kawaikib., Saudi Arabia",29.48333,47.7,,,
